text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
Baltimore Police seek clues to man's shooting https://t.co/LjrukC316z https://t.co/quZcSuBnc3,FALSE,0.0,NA,2017-12-30T13:53:08Z,FALSE,NA,947103260711690240,NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",readknox,0.0,FALSE,FALSE,NA,NA
Baltimore Police seek clues to man's shooting https://t.co/46WyT7BDDx https://t.co/2ApxebM6T2,FALSE,0.0,NA,2017-12-30T13:53:06Z,FALSE,NA,947103252046213120,NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",BaltSunBrk,0.0,FALSE,FALSE,NA,NA
"RT @PeterMoskos: Opinions like this literally contribute to increased murder in Baltimore. Police are criticized for doing their job, chasi…",FALSE,0.0,NA,2017-12-30T13:53:05Z,FALSE,NA,947103249299013637,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",charmcitycop,16.0,TRUE,FALSE,NA,NA
A Baltimore man told police he killed a close friend. But did he do it? - Baltimore Sun  https://t.co/E2WAItYxJC,FALSE,0.0,NA,2017-12-30T13:53:00Z,FALSE,NA,947103228805746688,NA,"<a href=""http://www.myplume.com/"" rel=""nofollow"">Plume for Android</a>",fuseboxradio,0.0,FALSE,FALSE,NA,NA
When the Baltimore Police Locked Down Several Blocks of a Black Neighborhood | Davis Vanguard https://t.co/cnN3aittVj,FALSE,0.0,NA,2017-12-30T13:52:46Z,FALSE,NA,947103167682170881,NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",DavisVanguard,0.0,FALSE,FALSE,NA,NA
RT @ABC: FBI declines to lead investigation into murder of veteran Baltimore detective who was killed one day before he was due to testify…,FALSE,0.0,NA,2017-12-30T13:47:29Z,FALSE,NA,947101839488638976,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Thaxby_Chamblis,740.0,TRUE,FALSE,NA,NA
I liked a @YouTube video https://t.co/uUv3NpUEhJ Community reacts to police shooting in West Baltimore,FALSE,0.0,NA,2017-12-30T13:45:28Z,FALSE,NA,947101332195995648,NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>",1AudioDopeness,0.0,FALSE,FALSE,NA,NA
"RT @PeterMoskos: Opinions like this literally contribute to increased murder in Baltimore. Police are criticized for doing their job, chasi…",FALSE,0.0,NA,2017-12-30T13:44:34Z,FALSE,NA,947101103786790912,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",G_Pem,16.0,TRUE,FALSE,NA,NA
RT @ABC: FBI declines to lead investigation into murder of veteran Baltimore detective who was killed one day before he was due to testify…,FALSE,0.0,NA,2017-12-30T13:43:40Z,FALSE,NA,947100878011600898,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",pacottl,740.0,TRUE,FALSE,NA,NA
RT @ABC: FBI declines to lead investigation into murder of veteran Baltimore detective who was killed one day before he was due to testify…,FALSE,0.0,NA,2017-12-30T13:40:50Z,FALSE,NA,947100166322089985,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ColaGotyochick,740.0,TRUE,FALSE,NA,NA
RT @ABC: FBI declines to lead investigation into murder of veteran Baltimore detective who was killed one day before he was due to testify…,FALSE,0.0,NA,2017-12-30T13:38:50Z,FALSE,NA,947099661973839872,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Wan_A_Dance,740.0,TRUE,FALSE,NA,NA
RT @ABC: FBI declines to lead investigation into murder of veteran Baltimore detective who was killed one day before he was due to testify…,FALSE,0.0,NA,2017-12-30T13:38:09Z,FALSE,NA,947099490112110592,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",BuckGordy,740.0,TRUE,FALSE,NA,NA
RT @ABC: FBI declines to lead investigation into murder of veteran Baltimore detective who was killed one day before he was due to testify…,FALSE,0.0,NA,2017-12-30T13:37:13Z,FALSE,NA,947099257269575681,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",austin_pecker,740.0,TRUE,FALSE,NA,NA
RT @BaltSunBrk: Change in police records makes 2017 Baltimore's deadliest year since 1993 https://t.co/LCvJ8ryPhW https://t.co/ewR5F2l2eW,FALSE,0.0,NA,2017-12-30T13:34:35Z,FALSE,NA,947098591377715202,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",lukebroadwater,5.0,TRUE,FALSE,NA,NA
RT @ABC: FBI declines to lead investigation into murder of veteran Baltimore detective who was killed one day before he was due to testify…,FALSE,0.0,NA,2017-12-30T13:34:29Z,FALSE,NA,947098568896274433,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",_galaxytay,740.0,TRUE,FALSE,NA,NA
RT @ABC: FBI declines to lead investigation into murder of veteran Baltimore detective who was killed one day before he was due to testify…,FALSE,0.0,NA,2017-12-30T13:34:14Z,FALSE,NA,947098503406374912,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",WestIndieBEAUTY,740.0,TRUE,FALSE,NA,NA
RT @ABC: FBI declines to lead investigation into murder of veteran Baltimore detective who was killed one day before he was due to testify…,FALSE,0.0,NA,2017-12-30T13:30:39Z,FALSE,NA,947097604227248128,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Romeo2__,740.0,TRUE,FALSE,NA,NA
